mode,n,hits,misses,total
MRU,20,33,75,108
default,20,19,89,108
MRU,40,60,135,195
default,40,19,176,195
MRU,60,87,194,281
default,60,19,262,281
MRU,80,124,310,434
default,80,50,384,434
MRU,100,135,320,455
default,100,19,436,455
MRU,140,189,439,628
default,140,19,609,628
MRU,180,255,645,900
default,180,51,849,900
MRU,220,296,679,975
default,220,19,956,975
MRU,260,349,799,1148
default,260,19,1129,1148
MRU,300,408,913,1321
default,300,19,1302,1321
MRU,350,469,1069,1538
default,350,19,1519,1538
MRU,400,537,1218,1755
default,400,19,1736,1755
MRU,450,603,1368,1971
default,450,19,1952,1971
MRU,500,673,1515,2188
default,500,19,2169,2188
MRU,550,736,1669,2405
default,550,19,2386,2405
MRU,600,808,1813,2621
default,600,19,2602,2621
MRU,650,869,1969,2838
default,650,19,2819,2838
MRU,750,1003,2268,3271
default,750,19,3252,3271
MRU,800,1073,2415,3488
default,800,19,3469,3488
MRU,850,1136,2569,3705
default,850,19,3686,3705
MRU,900,1208,2713,3921
default,900,19,3902,3921
MRU,950,1269,2869,4138
default,950,19,4119,4138
MRU,1000,1337,3018,4355
default,1000,19,4336,4355
